Match Index,0-60 mph,EPA mileage (combined),Torque,Price,Arbitrary Score,Make,Model,Year,Ranking,Engine Type
357,0.365203762,0.06779661,0.384223919,0.122513972,-0.632849661,Genesis,G90,2018,798,Gas
151,0.478840125,0.093220339,0.300254453,0.063796351,-0.632950186,Mazda,CX-9,2019,799,Gas
62,0.564263323,0.169491525,0.104694656,0.029410846,-0.633000799,Chevrolet,Cruze,2019,800,Gas
405,0.495297806,0.104195007,0.139949109,0.023842976,-0.633433383,Jeep,Renegade,2018,801,Gas
220,0.489811912,0.13559322,0.253180662,0.078491367,-0.633628971,Audi,A6,2018,802,Gas
464,0.489811912,0.104195007,0.141221374,0.026965146,-0.633678013,Mazda,Mazda3 5-Door,2018,803,Gas
502,0.515673981,0.127118644,0.131043257,0.028723969,-0.633844649,Nissan,Sentra,2018,804,Gas
590,0.409874608,0.076271186,0.319338422,0.09056376,-0.633852274,Audi,Q7,2017,805,Gas
1210,0.520376176,0.104195007,0.139949109,0.011502076,-0.634226525,Volkswagen,Golf,2016,806,Gas
911,0.390282132,0.104195007,0.325699746,0.1230718,-0.634566694,BMW,6 Series Gran Coupe,2016,807,Gas
46,0.49137931,0.101694915,0.236641221,0.048456087,-0.634857,Buick,Regal Sportback,2019,808,Gas
480,0.583855799,0.169491525,0.111959288,0.022084153,-0.635614347,MINI,Hardtop 4 Door,2018,809,Gas
483,0.620689655,0.211864407,0,0.007503617,-0.635800556,Mitsubishi,Mirage G4,2018,810,Gas
1214,0.62539185,0.169491525,0.139949109,0.008381987,-0.635887962,Volkswagen,Jetta Sedan,2016,811,Gas
1193,0.331504702,0.025423729,0.416030534,0.11636954,-0.636185844,Toyota,Land Cruiser,2016,812,Gas
1028,0.560344828,0.161016949,0.067430025,0.016668228,-0.636881693,Honda,HR-V,2016,813,Gas
555,0.431818182,0.059322034,0.244274809,0.049038892,-0.63755102,Volkswagen,Atlas,2018,814,Gas
395,0.482758621,0.110169492,0.15394402,0.039204055,-0.637880965,Hyundai,Tucson,2018,815,Gas
262,0.395768025,0.104195007,0.325699746,0.121161031,-0.637895408,BMW,6 Series,2018,816,Gas
81,0.413793103,0.076271186,0.236641221,0.069052005,-0.638339446,Dodge,Durango,2019,817,Gas
1133,0.558777429,0.13559322,0.090330789,0.004706152,-0.639269016,Mitsubishi,Lancer,2016,818,Gas
983,0.572884013,0.13559322,0.139949109,0.010101262,-0.639444304,FIAT,500L,2016,819,Gas
1063,0.583855799,0.161016949,0.062340967,0.00497674,-0.642226744,Kia,Rio,2016,820,Gas
1134,0.536833856,0.127118644,0.111959288,0.015496373,-0.642337984,Mitsubishi,Outlander,2016,821,Gas
829,0.427115987,0.084745763,0.253180662,0.073912184,-0.64246276,Porsche,Macan,2017,822,Gas
408,0.423197492,0.050847458,0.236641221,0.046322603,-0.642501804,Jeep,Wrangler JK Unlimited,2018,823,Gas
748,0.423197492,0.050847458,0.236641221,0.046322603,-0.642501804,Jeep,Wrangler Unlimited,2017,824,Gas
978,0.163793103,0.104195007,0.614503817,0.310506104,-0.642521784,Ferrari,California T,2016,825,Gas
882,0.469435737,0.13559322,0.234096692,0.086149011,-0.642591163,Alfa Romeo,4C,2016,826,Gas
496,0.447492163,0.101694915,0.211195929,0.066273273,-0.643796744,Nissan,Murano,2018,827,Gas
197,0.626175549,0.186440678,0.139949109,0.022906324,-0.644705252,Volkswagen,Jetta,2019,828,Gas
510,0.427115987,0.084745763,0.253180662,0.074536618,-0.644960497,Porsche,Macan,2018,829,Gas
888,0.532915361,0.13559322,0.160305344,0.036750029,-0.645745831,Audi,A3,2016,830,Gas
731,0.537617555,0.13559322,0.15394402,0.032907677,-0.646142138,Hyundai,Tucson,2017,831,Gas
403,0.501567398,0.110169492,0.128498728,0.02582035,-0.647408995,Jeep,Compass,2018,832,Gas
790,0.526645768,0.101694915,0.300254453,0.0499131,-0.647604736,Mazda,CX-9,2017,833,Gas
1123,0.228840125,0.126649394,0.844783715,0.353796039,-0.648132509,Mercedes-Benz,S Class,2016,834,Electric
1124,0.228840125,0.126649394,0.844783715,0.353796039,-0.648132509,Mercedes-Benz,S-Class,2016,835,Electric
129,0.501567398,0.110169492,0.128498728,0.02623664,-0.649074153,Jeep,Compass,2019,836,Gas
385,0.520376176,0.118644068,0.096692112,0.01531945,-0.649405836,Hyundai,Elantra,2018,837,Gas
787,0.510188088,0.104195007,0.141221374,0.020720805,-0.649453,Mazda,6,2017,838,Gas
121,0.427899687,0.076271186,0.239185751,0.06541988,-0.649479583,Honda,Ridgeline,2019,839,Gas
1213,0.57523511,0.126649394,0.139949109,0.004849772,-0.649972014,Volkswagen,Jetta,2016,840,Electric
1031,0.582288401,0.152542373,0.062340967,0.001588144,-0.650961293,Hyundai,Accent,2016,841,Gas
382,0.42476489,0.084745763,0.239185751,0.07384974,-0.651505703,Honda,Pilot,2018,842,Gas
868,0.55799373,0.13559322,0.139949109,0.020606326,-0.651683992,Volkswagen,Beetle,2017,843,Gas
1012,0.432601881,0.033898305,0.236641221,0.03122795,-0.651779424,Ford,Transit Wagon,2016,844,Gas
764,0.46630094,0.101694915,0.223918575,0.062047936,-0.651790303,Land Rover,Range Rover Evoque,2017,845,Gas
499,0.423981191,0.076271186,0.235368957,0.067168295,-0.652453048,Nissan,Pathfinder,2018,846,Gas
750,0.547805643,0.13559322,0.073791349,0.009595471,-0.653422159,Kia,Forte,2017,847,Gas
444,0.413793103,0.076271186,0.20610687,0.06523255,-0.653595976,Lexus,RC,2018,848,Gas
569,0.416144201,0.093220339,0.251908397,0.088378241,-0.65423195,Acura,RLX,2017,849,Gas
665,0.489028213,0.06779661,0.236641221,0.029150666,-0.654628037,Dodge,Grand Caravan,2017,850,Gas
578,0.518025078,0.13559322,0.187022901,0.053305858,-0.655471028,Audi,A3 Cabriolet,2017,851,Gas
28,0.45846395,0.101694915,0.300254453,0.086192721,-0.656359586,BMW,5-Series,2019,852,Gas
752,0.411442006,0.06779661,0.278625954,0.078907657,-0.656498854,Kia,K900,2017,853,Gas
82,0.489028213,0.06779661,0.236641221,0.029681435,-0.656751113,Dodge,Grand Caravan,2019,854,Gas
322,0.489028213,0.06779661,0.236641221,0.029681435,-0.656751113,Dodge,Grand Caravan,2018,855,Gas
609,0.444357367,0.104195007,0.234096692,0.078907657,-0.657663646,BMW,3 Series Gran Turismo,2017,856,Gas
380,0.560344828,0.161016949,0.067430025,0.021917637,-0.657879331,Honda,HR-V,2018,857,Gas
27,0.46630094,0.127118644,0.234096692,0.08525607,-0.658173537,BMW,4-Series,2019,858,Gas
146,0.416144201,0.104195007,0.255725191,0.098660589,-0.658620544,Lincoln,Nautilus,2019,859,Gas
566,0.445924765,0.084745763,0.245547074,0.066731192,-0.658989934,Acura,MDX,2017,860,Gas
561,0.622257053,0.169491525,0.139949109,0.015933477,-0.659824329,Volkswagen,Jetta,2018,861,Gas
